"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"394","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus"
"395","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis"
"396","Falcipennis canadensis","Falcipennis canadensis","Falcipennis canadensis","Dendragapus canadensis",NA,"Canachites canadensis","Canachites canadensis [canadensis Group]"
"397","Falco biarmicus","Falco biarmicus","Falco biarmicus","Falco biarmicus","Falco biarmicus","Falco biarmicus","Falco biarmicus"
"398","Falco cherrug","Falco cherrug","Falco cherrug","Falco cherrug","Falco cherrug","Falco cherrug","Falco cherrug"
"399","Falco columbarius","Falco columbarius","Falco columbarius","Falco columbarius","Falco columbarius","Falco columbarius","Falco columbarius"
"400","Falco eleonorae","Falco eleonorae","Falco eleonorae","Falco eleonorae","Falco eleonorae","Falco eleonorae","Falco eleonorae"
"401","Falco naumanni","Falco naumanni","Falco naumanni","Falco naumanni","Falco naumanni","Falco naumanni","Falco naumanni"
"402","Falco peregrinus","Falco peregrinus","Falco peregrinus","Falco peregrinus","Falco peregrinus","Falco peregrinus","Falco peregrinus"
"403","Falco peregrinus","Falco peregrinus","Falco peregrinus","Falco pelegrinoides","Falco peregrinus","Falco peregrinus","Falco peregrinus"
"404","Falco rusticolus","Falco rusticolus","Falco rusticolus","Falco rusticolus","Falco rusticolus","Falco rusticolus","Falco rusticolus"
"405","Falco sparverius","Falco sparverius","Falco sparverius","Falco sparverius","Falco sparverius","Falco sparverius","Falco sparverius"
"406","Falco subbuteo","Falco subbuteo","Falco subbuteo","Falco subbuteo","Falco subbuteo","Falco subbuteo","Falco subbuteo"
