"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","BL_name","BT_name","FP","Shapefile_name","sd_PC1","sd_PC2"
"736","Phylloscopus xanthodryas","Phylloscopus xanthodryas","25.8","10.89","Forest","1","3","Carnivore","Invertivore","Insessorial","286897.73","Phylloscopus xanthodryas",NA,NA,"Phylloscopus xanthodryas",0.73671315010143,0.5848020970628
"737","Pica pica","Pica pica","22.9","217.48","Human Modified","3","1","Omnivore","Omnivore","Terrestrial","32086533.08","Pica pica","Pica pica",6.83582743635657,"Pica pica",1.27637074585516,1.23865220087909
"738","Picoides arcticus","Picoides arcticus","25.2","69.24","Forest","1","1","Carnivore","Invertivore","Insessorial","6771211.08","Picoides arcticus","Picoides arcticus",4.21617556322632,"Picoides arcticus",0.973065460869465,0.902160844017381
"739","Picoides arcticus","Picoides arcticus","25.2","69.24","Forest","1","1","Carnivore","Invertivore","Insessorial","6771211.08","Picoides canicapillus","Picoides arcticus",4.21617556322632,"Picoides arcticus",0.973065460869465,0.902160844017381
"740","Picoides dorsalis","Picoides dorsalis","28","55.05","Forest","1","1","Carnivore","Invertivore","Insessorial","7897211.06","Picoides ramsayi","Picoides dorsalis",4.97155249355965,NA,NA,NA
"741","Picoides pubescens","Dryobates pubescens","27","25.55","Woodland","2","1","Carnivore","Invertivore","Insessorial","12800223.82","Dryobates pubescens","Picoides pubescens",3.98390442487841,"Dryobates pubescens",1.29232209164246,1.0308063161935
"742","Picoides pubescens","Dryobates pubescens","27","25.55","Woodland","2","1","Carnivore","Invertivore","Insessorial","12800223.82","Picoides moluccensis","Picoides pubescens",3.98390442487841,"Dryobates pubescens",1.29232209164246,1.0308063161935
"743","Picoides tridactylus","Picoides tridactylus","29.4","65.49","Forest","1","1","Carnivore","Invertivore","Insessorial","14623044.02","Picoides tridactylus","Picoides tridactylus",4.97155249355965,"Picoides tridactylus",1.15638664486322,1.00895635199595
"744","Picoides villosus","Leuconotopicus villosus","25.3","62.65","Forest","1","1","Carnivore","Invertivore","Insessorial","13332874.44","Leuconotopicus villosus","Picoides villosus",4.05564787083053,"Leuconotopicus villosus",1.5320687951648,1.10549865421751
"745","Picus awokera","Picus awokera","27.5","143","Forest","2","1","Carnivore","Invertivore","Insessorial","281098.75","Picus awokera","Picus awokera",7.68921418082598,"Picus awokera",0.752117479964205,0.587728339436164
"746","Picus canus","Picus canus","25.8","137","Forest","1","1","Carnivore","Invertivore","Insessorial","17088062.07","Picus canus","Picus canus",3.18119647042351,"Picus canus",0.972861650701093,1.13844579355598
"747","Picus sharpei","Picus sharpei","26.6","176","Forest","2","1","Carnivore","Invertivore","Terrestrial","563992.07","Picus sharpei",NA,NA,"Picus guerini",1.7987065626255,0.892308550376053
"748","Picus sharpei","Picus sharpei","26.6","176","Forest","2","1","Carnivore","Invertivore","Terrestrial","563992.07","Picus sharpei",NA,NA,"Picus sharpei",0.510164774410812,0.856810021167044
"749","Picus viridis","Picus viridis","24.7","176","Forest","2","1","Carnivore","Invertivore","Terrestrial","6538180.67","Picus guerini","Picus viridis",4.78799264520022,"Picus viridis",0.680793490264068,0.870091415985655
"750","Picus viridis","Picus viridis","24.7","176","Forest","2","1","Carnivore","Invertivore","Terrestrial","6538180.67","Picus viridis","Picus viridis",4.78799264520022,"Picus viridis",0.680793490264068,0.870091415985655
"751","Pinicola enucleator","Pinicola enucleator","29.4","56.4","Forest","1","2","Herbivore","Omnivore","Insessorial","18396768.3","Pinicola enucleator","Pinicola enucleator",6.27344143973232,"Pinicola enucleator",1.18104091547414,1.02022895046784
"752","Pipilo erythrophthalmus","Pipilo erythrophthalmus","13.6","40.03","Forest","2","2","Herbivore","Omnivore","Generalist","3162018.06","Pipilo erythrophthalmus","Pipilo erythrophthalmus",2.28717963400236,"Pipilo erythrophthalmus",0.994991109643998,0.75323289908676
"753","Piranga olivacea","Piranga olivacea","30.9","28.2","Forest","1","3","Carnivore","Invertivore","Insessorial","2605301.09","Piranga olivacea","Piranga olivacea",6.55365897719539,"Piranga olivacea",0.785035490568258,0.771037642694199
"754","Piranga rubra","Piranga rubra","29.2","29.13","Forest","1","3","Carnivore","Invertivore","Insessorial","3269576.69","Piranga rubra","Piranga rubra",9.43362205071539,"Piranga rubra",0.778226018041647,1.16855305544593
"755","Pitta nympha","Pitta nympha","24.6","88.28","Forest","1","3","Carnivore","Invertivore","Terrestrial","1165759.28","Pitta nympha","Pitta nympha",7.59549773636436,"Pitta nympha",0.791032382139447,0.846052091966203
"756","Platalea leucorodia","Platalea leucorodia","40.4","1868","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","6276598.58","Platalea leucorodia","Platalea leucorodia",13.0495319792427,"Platalea leucorodia",1.48586893826219,1.23227063205676
"757","Plectrophenax nivalis","Plectrophenax nivalis","38.6","42.2","Grassland","3","3","Herbivore","Granivore","Terrestrial","6819849.23","Plectrophenax nivalis","Plectrophenax nivalis",11.410410027002,"Plectrophenax nivalis",1.11161823858122,0.802451661370615
"758","Plegadis falcinellus","Plegadis falcinellus","38.9","626.61","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","23712479.58","Plegadis falcinellus","Plegadis falcinellus",19.5697140256967,"Plegadis falcinellus",1.47203402142539,1.60245956611982
"759","Pluvialis apricaria","Pluvialis apricaria","57.4","214","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3294836.99","Pluvialis apricaria","Pluvialis apricaria",18.993949631115,"Pluvialis apricaria",1.25658713412793,0.68942073500359
"760","Pluvialis squatarola","Pluvialis squatarola","60.1","250","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","3963258.28","Pluvialis squatarola","Pluvialis squatarola",24.897747792115,"Pluvialis squatarola",0.585967480154696,0.625916093213277
"761","Podiceps auritus","Podiceps auritus","42.2","453","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","16211072.27","Podiceps auritus","Podiceps auritus",12.1532552997039,"Podiceps auritus",1.05632993117536,1.0038190735499
"762","Podiceps cristatus","Podiceps cristatus","42.9","730.96","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","19812770.45","Podiceps cristatus","Podiceps cristatus",9.76844166827052,"Podiceps cristatus",1.22933021858835,1.29185092308862
"763","Podiceps grisegena","Podiceps grisegena","40.9","1023","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","17383433.44","Podiceps grisegena","Podiceps grisegena",12.0708584649539,"Podiceps grisegena",1.12900152001838,0.879105374861534
"764","Podiceps nigricollis","Podiceps nigricollis","44","412.44","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","16435591.3","Podiceps nigricollis","Podiceps nigricollis",10.6191073971205,"Podiceps nigricollis",1.04828759498753,1.15914775691759
"765","Podilymbus podiceps","Podilymbus podiceps","34","411.93","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","21361785.48","Podilymbus podiceps","Podilymbus podiceps",22.0091665816605,"Podilymbus podiceps",1.87484340012519,1.11175856892517
"766","Poecile atricapillus","Poecile atricapillus","18.6","10.8","Forest","1","1","Omnivore","Invertivore","Insessorial","9078514.18","Poecile atricapillus","Parus atricapillus",7.03748782689973,NA,NA,NA
"767","Poecile cinctus","Poecile cinctus","19.5","11.4","Forest","1","1","Omnivore","Invertivore","Insessorial","10800997.61","Poecile cinctus","Parus cinctus",5.7459953591914,NA,NA,NA
"768","Poecile cinctus","Poecile cinctus","19.5","11.4","Forest","1","1","Omnivore","Invertivore","Insessorial","10800997.61","Poecile cinctus","Parus cyanus",9.55499775981847,NA,NA,NA
"769","Poecile hudsonicus","Poecile hudsonicus","18.4","9.8","Forest","1","1","Omnivore","Invertivore","Insessorial","7102487.58","Poecile hudsonicus","Parus hudsonicus",5.7459953591914,NA,NA,NA
"770","Poecile lugubris","Poecile lugubris","15.3","15.8","Woodland","2","1","Carnivore","Invertivore","Insessorial","1281185.72","Poecile lugubris",NA,NA,NA,NA,NA
"771","Poecile montanus","Poecile montanus","17.7","11.1","Forest","1","1","Omnivore","Invertivore","Insessorial","21263364.59","Poecile montanus",NA,NA,"Poecile montanus",1.19382225877593,1.17488101502418
"772","Poecile montanus","Poecile montanus","17.7","11.1","Forest","1","1","Omnivore","Invertivore","Insessorial","21263364.59","Poecile hyrcanus",NA,NA,"Poecile montanus",1.19382225877593,1.17488101502418
"773","Poecile palustris","Poecile palustris","17.9","11.14","Forest","1","1","Omnivore","Invertivore","Insessorial","9072135.09","Poecile palustris",NA,NA,"Poecile palustris",1.08624935196495,1.31165432612051
"774","Polioptila caerulea","Polioptila caerulea","19.1","5.8","Woodland","2","3","Carnivore","Invertivore","Insessorial","6582606.18","Polioptila caerulea","Polioptila caerulea",4.1196649277367,"Polioptila caerulea",1.17149791060648,1.17410574466054
"775","Polysticta stelleri","Polysticta stelleri","49.1","806.76","Marine","3","3","Carnivore","Aquatic predator","Aquatic","2209280.29","Polysticta stelleri","Polysticta stelleri",10.3144449414882,"Polysticta stelleri",0.735784115411024,0.591214543671525
"776","Pooecetes gramineus","Pooecetes gramineus","23.9","25.68","Grassland","3","3","Omnivore","Omnivore","Generalist","6371227.47","Pooecetes gramineus","Pooecetes gramineus",5.93113154697156,"Pooecetes gramineus",0.781168169342086,0.957587527299308
"777","Pooecetes gramineus","Pooecetes gramineus","23.9","25.68","Grassland","3","3","Omnivore","Omnivore","Generalist","6371227.47","Poodytes gramineus","Pooecetes gramineus",5.93113154697156,"Pooecetes gramineus",0.781168169342086,0.957587527299308
"778","Porphyrio porphyrio","Porphyrio porphyrio","30.5","773.88","Wetland","2","1","Herbivore","Herbivore aquatic","Terrestrial","18686249.25","Porphyrio porphyrio","Porphyrio porphyrio",15.2816938715877,"Porphyrio porphyrio",1.82647587526404,1.81131252975931
"779","Porzana carolina","Porzana carolina","33.4","74.8","Wetland","1","3","Omnivore","Omnivore","Terrestrial","9780642.26","Porzana carolina","Porzana carolina",7.30222707967409,"Porzana carolina",1.02459720423555,0.949768015360572
"780","Porzana fusca","Porzana fusca","22.2","57.27","Wetland","2","2","Omnivore","Aquatic predator","Terrestrial","6674711.81","Porzana fasciata","Porzana fusca",6.19104085315149,NA,NA,NA
"781","Porzana parva","Porzana parva","44","49.7","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","6785055.74",NA,"Porzana parva",5.39170290207149,NA,NA,NA
"782","Porzana porzana","Porzana porzana","34.5","87.1","Wetland","1","3","Omnivore","Aquatic predator","Terrestrial","10691863.17","Porzana porzana","Porzana porzana",8.97790131617409,"Porzana porzana",0.889177205635378,0.919657577758605
"783","Progne subis","Progne subis","52","53.79","Forest","2","1","Carnivore","Invertivore","Aerial","5698973.38","Progne subis","Progne subis",4.74455490554658,"Progne subis",1.0648785015771,1.06242360266472
"784","Protonotaria citrea","Protonotaria citrea","30","14.3","Forest","1","3","Carnivore","Invertivore","Insessorial","2173071.74","Protonotaria citrea","Protonotaria citrea",7.90558251912273,"Protonotaria citrea",0.834208131704574,0.640865418868754
"785","Prunella atrogularis","Prunella atrogularis","26","18.5","Shrubland","2","3","Carnivore","Invertivore","Terrestrial","950766.74","Prunella atrogularis","Prunella atrogularis",7.84119650080319,"Prunella atrogularis",0.458755874494443,0.898968748496821
"786","Prunella collaris","Prunella collaris","28","38.61","Grassland","3","2","Carnivore","Invertivore","Terrestrial","10326440.53","Prunella collaris","Prunella collaris",4.94637714265319,"Prunella collaris",1.17749597284477,1.10364452898194
"787","Prunella modularis","Prunella modularis","21.2","20.24","Forest","2","1","Omnivore","Invertivore","Terrestrial","6779516.3","Prunella modularis","Prunella modularis",4.94637714265319,"Prunella modularis",0.798141773597742,0.71299499404081
"788","Prunella montanella","Prunella montanella","24.4","17","Forest","2","3","Carnivore","Invertivore","Terrestrial","6373551.3","Prunella montanella","Prunella montanella",7.72773597120319,"Prunella montanella",0.650422291233492,0.979843780841461
"789","Prunella rubida","Prunella rubida","21.6","16.7","Shrubland","2","2","Carnivore","Invertivore","Terrestrial","316162.6","Prunella rubida","Prunella rubida",6.63783740980319,"Prunella rubida",0.86823520308831,0.618502972581923
"790","Psittacula krameri","Psittacula krameri","47.7","116.11","Forest","2","1","Herbivore","Omnivore","Insessorial","7699517.78",NA,"Psittacula krameri",6.08828266603658,NA,NA,NA
"791","Pterocles alchata","Pterocles alchata","61.5","275.79","Grassland","3","2","Herbivore","Granivore","Terrestrial","3142814.68","Pterocles alchata","Pterocles alchata",11.8799201965631,"Pterocles alchata",0.719109413723096,0.935267191724095
"792","Pterocles orientalis","Pterocles orientalis","63.7","404.87","Grassland","3","2","Herbivore","Granivore","Terrestrial","5783511.92","Pterocles orientalis","Pterocles orientalis",14.8784493394965,"Pterocles orientalis",0.81074059271085,1.03846143072225
"793","Pterodroma deserta","Pterodroma deserta","48.3","311","Marine","3","2","Carnivore","Aquatic predator","Generalist","43967640.59","Pterodroma deserta",NA,NA,NA,NA,NA
"794","Pterodroma madeira","Pterodroma madeira","53.9","201.05","Marine","3","2","Carnivore","Aquatic predator","Generalist","31437943.45","Pterodroma madeira","Pterodroma madeira",4.99104748955498,"Pterodroma madeira",1.01829974285308,0.992139321462644
"795","Ptyonoprogne rupestris","Ptyonoprogne rupestris","56","20.4","Rock","3","2","Carnivore","Invertivore","Aerial","10906260.69","Ptyonoprogne rupestris","Hirundo rupestris",6.24421485838873,NA,NA,NA
"796","Puffinus lherminieri","Puffinus lherminieri","55.6","192.76","Marine","3","2","Carnivore","Aquatic predator","Aquatic","78995853.09","Puffinus lherminieri","Puffinus lherminieri",6.31834743863735,"Puffinus lherminieri",1.1845392056791,1.02285485236364
"797","Puffinus mauretanicus","Puffinus mauretanicus","58.1","497","Marine","3","2","Carnivore","Aquatic predator","Generalist","3816160.57","Puffinus mauretanicus","Puffinus mauretanicus",6.70073195002135,"Puffinus mauretanicus",0.45369409695398,1.06951235073039
"798","Puffinus puffinus","Puffinus puffinus","61.6","453.26","Marine","3","3","Carnivore","Aquatic predator","Generalist","69101740.74","Puffinus puffinus","Puffinus puffinus",7.63661815402135,"Puffinus puffinus",1.30481159466524,1.00840926255373
"799","Puffinus yelkouan","Puffinus yelkouan","60.6","497","Marine","3","2","Carnivore","Aquatic predator","Generalist","2989515.98","Puffinus elegans","Puffinus yelkouan",6.70073195002135,"Puffinus yelkouan",0.424231916912303,0.819226658430871
"800","Puffinus yelkouan","Puffinus yelkouan","60.6","497","Marine","3","2","Carnivore","Aquatic predator","Generalist","2989515.98","Puffinus yelkouan","Puffinus yelkouan",6.70073195002135,"Puffinus yelkouan",0.424231916912303,0.819226658430871
"801","Pycnonotus sinensis","Pycnonotus sinensis","20.8","34.2","Human Modified","2","3","Herbivore","Frugivore","Insessorial","3154277.75","Pycnonotus sinensis","Pycnonotus sinensis",2.8939280090237,"Pycnonotus sinensis",1.29601246361606,1.0985600627371
"802","Pyrrhocorax graculus","Pyrrhocorax graculus","36.7","211","Rock","3","2","Carnivore","Invertivore","Terrestrial","3556954.7","Pyrrhocorax graculus","Pyrrhocorax graculus",13.499709868525,"Pyrrhocorax graculus",0.955586333155052,1.09553352915581
"803","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax","39","276.68","Rock","3","2","Carnivore","Invertivore","Terrestrial","12981520.53","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax",13.499709868525,"Pyrrhocorax pyrrhocorax",1.22641483749437,1.1881342555078
"804","Pyrrhula murina","Pyrrhula murina","25.4","30","Woodland","2","1","Herbivore","Granivore","Insessorial","144.43","Pyrrhula murina","Pyrrhula murina",4.71559564417875,"Pyrrhula murina",0.0545293239394896,0.091150800764847
"805","Pyrrhula pyrrhula","Pyrrhula pyrrhula","24.9","24.26","Forest","2","1","Herbivore","Omnivore","Insessorial","17864017.39","Pyrrhula pyrrhula","Pyrrhula pyrrhula",5.76624066827875,"Pyrrhula pyrrhula",1.28577191482248,1.13827631325137
"806","Quiscalus major","Quiscalus major","29.7","151.21","Wetland","3","1","Carnivore","Omnivore","Terrestrial","202767.11","Quiscalus major","Quiscalus major",2.01863229515817,"Quiscalus major",0.689433530776659,0.712724244064749
"807","Quiscalus quiscula","Quiscalus quiscula","25.9","105.18","Wetland","3","2","Carnivore","Omnivore","Terrestrial","8216640.27","Quiscalus quiscula","Quiscalus quiscula",3.10159819996483,"Quiscalus quiscula",1.09028830745673,0.929903051457066
"808","Rallina eurizonoides","Rallina eurizonoides","23.2","109","Forest","1","1","Omnivore","Omnivore","Terrestrial","2090656.41","Rallina eurizonoides","Rallina eurizonoides",24.6903068117448,"Rallina eurizonoides",1.56838892353426,1.43210539720943
"809","Rallus aquaticus","Rallus aquaticus","30.5","110.67","Wetland","1","2","Carnivore","Aquatic predator","Terrestrial","15247128.44","Rallus aquaticus","Rallus aquaticus",8.71372148885371,"Rallus aquaticus",0.987546526618071,1.15340350848865
"810","Rallus elegans","Rallus elegans","24.6","313.31","Wetland","1","1","Carnivore","Aquatic predator","Terrestrial","3370002.52","Rallus elegans","Rallus elegans",6.55610498858705,"Rallus elegans",1.27747367946284,0.767123029468956
"811","Rallus elegans","Rallus elegans","24.6","313.31","Wetland","1","1","Carnivore","Aquatic predator","Terrestrial","3370002.52","Rallus crepitans","Rallus elegans",6.55610498858705,"Rallus elegans",1.27747367946284,0.767123029468956
"812","Rallus limicola","Rallus limicola","26.5","84.1","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","5650094.92","Rallus limicola","Rallus limicola",14.3284232917537,"Rallus limicola",1.33506776827432,1.05167801163197
"813","Rallus longirostris","Rallus longirostris","18.1","259.35","Coastal","1","2","Carnivore","Aquatic predator","Terrestrial","643613.12","Rallus longirostris","Rallus longirostris",6.16121814283705,"Rallus longirostris",1.08440926022639,0.975513086247122
"814","Rallus longirostris","Rallus longirostris","18.1","259.35","Coastal","1","2","Carnivore","Aquatic predator","Terrestrial","643613.12","Rallus longirostris","Rallus longirostris",6.16121814283705,"Rallus tenuirostris",0.623510235444372,0.823356683873092
"815","Rallus longirostris","Rallus longirostris","18.1","259.35","Coastal","1","2","Carnivore","Aquatic predator","Terrestrial","643613.12","Rallus tenuirostris","Rallus longirostris",6.16121814283705,"Rallus longirostris",1.08440926022639,0.975513086247122
"816","Rallus longirostris","Rallus longirostris","18.1","259.35","Coastal","1","2","Carnivore","Aquatic predator","Terrestrial","643613.12","Rallus tenuirostris","Rallus longirostris",6.16121814283705,"Rallus tenuirostris",0.623510235444372,0.823356683873092
"817","Recurvirostra avosetta","Recurvirostra avosetta","49.7","304","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","17136961.53","Recurvirostra avosetta","Recurvirostra avosetta",12.6839140621117,"Recurvirostra avosetta",1.5963101310496,1.21955616083301
"818","Regulus calendula","Regulus calendula","22","6.19","Forest","1","3","Carnivore","Invertivore","Insessorial","9263294.84",NA,"Regulus calendula",20.6557885888806,NA,NA,NA
"819","Regulus ignicapilla","Regulus ignicapilla","22","5.6","Forest","1","3","Carnivore","Invertivore","Insessorial","2693877.52","Regulus ignicapilla","Regulus ignicapilla",28.493697242214,"Regulus ignicapilla",0.479938549325232,0.764128969608215
"820","Regulus ignicapillus","Regulus ignicapilla","22","5.6","Forest","1","3","Carnivore","Invertivore","Insessorial","2693877.52","Regulus ignicapilla","Regulus ignicapilla",28.493697242214,"Regulus ignicapilla",0.479938549325232,0.764128969608215
"821","Regulus madeirensis","Regulus madeirensis","19.9","5.6","Forest","2","1","Carnivore","Invertivore","Insessorial","753.1","Regulus madeirensis","Regulus madeirensis",28.493697242214,"Regulus madeirensis",0.272625620334231,0.103528027693057
"822","Regulus regulus","Regulus regulus","22","5.54","Forest","1","3","Carnivore","Invertivore","Insessorial","13206760.36","Regulus regulus","Regulus regulus",20.6557885888806,"Regulus regulus",1.11127074669373,1.07119277345986
"823","Regulus satrapa","Regulus satrapa","23.6","6.19","Forest","1","3","Carnivore","Invertivore","Insessorial","6348089.15","Regulus satrapa","Regulus satrapa",36.4485817840139,"Regulus satrapa",1.40440898898649,1.13187039665172
"824","Remiz pendulinus","Remiz pendulinus","19.4","9.3","Wetland","2","3","Omnivore","Invertivore","Insessorial","5890271.68","Remiz pendulinus","Remiz pendulinus",11.9276552643309,"Remiz pendulinus",0.846716128137904,0.845963063396663
"825","Riparia riparia","Riparia riparia","53","12.68","Riverine","3","3","Carnivore","Invertivore","Aerial","42348582.97","Riparia riparia","Riparia riparia",9.06915668196117,"Riparia riparia",1.1725401944199,1.08492459675234
"826","Rissa tridactyla","Rissa tridactyla","59.4","415.99","Marine","3","2","Carnivore","Aquatic predator","Aerial","2307068.48","Rissa tridactyla","Rissa tridactyla",6.18074627701887,"Rissa tridactyla",1.4049696302662,0.707942782901628
"827","Rostratula benghalensis","Rostratula benghalensis","31.6","121","Wetland","1","2","Omnivore","Aquatic predator","Terrestrial","24950994.82","Rostratula benghalensis","Rostratula benghalensis",30.0435654598103,"Rostratula benghalensis",1.51483445464376,1.54341228245333
"828","Rynchops niger","Rynchops niger","67.4","297.73","Riverine","3","2","Carnivore","Aquatic predator","Aerial","13769340.5","Rynchops niger","Rynchops niger",6.48902847516631,"Rynchops niger",1.30627590264078,1.09454581108944
"829","Saxicola rubetra","Saxicola rubetra","26.7","16.6","Shrubland","2","3","Carnivore","Invertivore","Insessorial","10238944.41","Saxicola rubetra","Saxicola rubetra",9.24092467140326,"Saxicola rubetra",0.907002908848717,0.819491293275977
"830","Saxicola torquata","Saxicola torquatus","20.8","14.09","Shrubland","3","2","Carnivore","Invertivore","Insessorial","32655980.34","Saxicola torquatus","Saxicola torquatus",5.45875017434422,"Saxicola torquatus",1.83171704834039,1.18904685979556
"831","Saxicola torquatus","Saxicola torquatus","20.8","14.09","Shrubland","3","2","Carnivore","Invertivore","Insessorial","32655980.34","Saxicola torquatus","Saxicola torquatus",5.45875017434422,"Saxicola torquatus",1.83171704834039,1.18904685979556
"832","Sayornis phoebe","Sayornis phoebe","20.6","19.7","Forest","2","3","Carnivore","Invertivore","Insessorial","6246276.45","Sayornis phoebe","Sayornis phoebe",5.70891217169318,"Sayornis phoebe",1.08084771488532,0.822680695028692
"833","Scolopax minor","Scolopax minor","30.6","196.32","Forest","3","3","Carnivore","Invertivore","Terrestrial","4263445.34","Scolopax minor","Scolopax minor",14.5969234545475,"Scolopax minor",0.952612715300754,0.793436444536524
"834","Scolopax rusticola","Scolopax rusticola","39.4","308.31","Forest","3","3","Carnivore","Omnivore","Terrestrial","15129244.23","Scolopax rusticola","Scolopax rusticola",9.71585392081413,"Scolopax rusticola",1.27948331612226,1.09731984814549
"835","Seiurus aurocapilla","Seiurus aurocapilla","24.9","18.8","Forest","1","3","Carnivore","Invertivore","Terrestrial","5222797.22","Seiurus aurocapilla","Seiurus aurocapilla",11.2275523303756,"Seiurus aurocapilla",0.88023128689823,0.963318007211304
"836","Seiurus motacilla","Parkesia motacilla","29.7","19.9","Forest","1","3","Carnivore","Invertivore","Terrestrial","2411690.61","Parkesia motacilla","Seiurus motacilla",5.62495514944147,"Parkesia motacilla",0.706466114909114,0.643676906020557
"837","Seiurus noveboracensis","Parkesia noveboracensis","28","16.3","Shrubland","1","3","Carnivore","Invertivore","Terrestrial","7602956.72","Parkesia noveboracensis","Seiurus noveboracensis",5.62495514944147,"Parkesia noveboracensis",0.976042714596982,0.833647785078111
"838","Serinus canaria","Serinus canaria","27.7","24.3","Woodland","2","1","Herbivore","Granivore","Generalist","10522.09","Serinus canaria","Serinus canaria",7.98675881388525,"Serinus canaria",0.249966386117795,0.572859770353605
"839","Serinus pusillus","Serinus pusillus","29.2","11.54","Rock","1","2","Herbivore","Granivore","Terrestrial","1833803.31","Serinus pusillus","Serinus pusillus",4.27647291685192,"Serinus pusillus",0.795205303739587,1.04998277056623
"840","Serinus serinus","Serinus serinus","29.3","11.2","Forest","2","2","Herbivore","Granivore","Generalist","4819417.99","Serinus serinus","Serinus serinus",6.27195688405192,"Serinus serinus",0.530463027211212,0.931240930038199
"841","Setophaga ruticilla","Setophaga ruticilla","24.6","8.24","Forest","1","3","Carnivore","Invertivore","Insessorial","6675504.95","Setophaga ruticilla","Setophaga ruticilla",5.58576121834656,"Setophaga ruticilla",1.02605659998882,0.938213100764775
"842","Sialia sialis","Sialia sialis","32.8","27.5","Woodland","2","2","Carnivore","Invertivore","Insessorial","5460000","Sialia sialis","Sialia sialis",10.7455186782246,"Sialia sialis",1.39228799017563,1.12536664530576
"843","Sitta canadensis","Sitta canadensis","26.2","9.8","Forest","1","3","Omnivore","Omnivore","Insessorial","7299100.07","Sitta canadensis","Sitta canadensis",7.96972684933087,"Sitta canadensis",1.20671716858869,1.15079038986349
"844","Sitta carolinensis","Sitta carolinensis","31.2","21","Forest","1","1","Omnivore","Omnivore","Insessorial","8811748.35","Sitta carolinensis","Sitta carolinensis",16.8525896777973,"Sitta carolinensis",1.03383126051288,1.07606609234015
"845","Sitta europaea","Sitta europaea","23.8","20.37","Forest","1","1","Carnivore","Invertivore","Insessorial","22902160.09","Sitta europaea","Sitta europaea",7.10826003176373,"Sitta europaea",1.35637433788206,1.14724692911326
"846","Sitta krueperi","Sitta krueperi","23.3","12.4","Forest","1","1","Omnivore","Omnivore","Insessorial","282938.85","Sitta krueperi","Sitta krueperi",4.79272431198087,"Sitta krueperi",0.597981112749601,0.971831776173358
"847","Sitta neumayer","Sitta neumayer","14.9","26.5","Rock","3","1","Omnivore","Invertivore","Generalist","1244088.59","Sitta neumayer","Sitta neumayer",8.05686196197504,"Sitta neumayer",0.601829464689049,1.11432838913093
"848","Sitta whiteheadi","Sitta whiteheadi","22.3","11.8","Forest","1","1","Omnivore","Omnivore","Insessorial","2318.9","Sitta whiteheadi","Sitta whiteheadi",5.55255174256421,"Sitta whiteheadi",0.0821676944915091,0.219901291841224
"849","Poecile varius",NA,"19.7","17","Forest","2","1","Carnivore","Invertivore","Insessorial","692847.17",NA,NA,NA,NA,NA,NA
"850","Somateria mollissima","Somateria mollissima","44.9","2060.93","Marine","3","2","Carnivore","Aquatic predator","Aquatic","3321100.72","Somateria mollissima","Somateria mollissima",5.41100884865484,"Somateria mollissima",1.29227205618086,0.716868660466281
"851","Somateria spectabilis","Somateria spectabilis","48.9","1616.71","Marine","3","3","Carnivore","Aquatic predator","Aquatic","3200134.05","Somateria spectabilis","Somateria spectabilis",5.41100884865484,"Somateria spectabilis",0.520243540403262,0.612726783044585
"852","Spatula clypeata",NA,"58","612.56","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","27068888.24",NA,NA,NA,NA,NA,NA
"853","Spatula querquedula",NA,"56.1","325.6","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","16861397.11",NA,NA,NA,NA,NA,NA
"854","Sphyrapicus varius","Sphyrapicus varius","33.9","50.3","Woodland","1","3","Omnivore","Omnivore","Insessorial","4472315.75","Sphyrapicus varius","Sphyrapicus varius",4.92091164022613,"Sphyrapicus varius",0.848863782458738,0.845523258296927
"855","Spilopelia senegalensis","Spilopelia senegalensis","34.2","82.13","Woodland","3","1","Herbivore","Granivore","Terrestrial","28873137.27","Spilopelia suratensis","Stigmatopelia senegalensis",11.7500363648378,NA,NA,NA
"856","Spilopelia senegalensis","Spilopelia senegalensis","34.2","82.13","Woodland","3","1","Herbivore","Granivore","Terrestrial","28873137.27","Spilopelia senegalensis","Stigmatopelia senegalensis",11.7500363648378,NA,NA,NA
"857","Spilornis cheela","Spilornis cheela","30.1","597.74","Forest","1","1","Carnivore","Vertivore","Insessorial","6837152.16","Spilornis cheela","Spilornis cheela",7.64855299633129,"Spilornis cheela",1.69705491503923,1.42780635641873
